,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E13,E14,E15,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15
E06,0.1085244392,0.0754607421,-0.07192451352,0.1050850727,-0.1056612435,0.2515353992,0.06070445984,0.1671108403,0.1784620182,-0.02900096486,0.1115902208,-0.1750054668,0.08378499944,0.1179230413,-0.06247806087,0.2235818184,0.02564623389,-0.0791611346,0.08112746625,0.3418033591,1,0.1198615298,0.1783374912,0.1494661734,0.1920393765,-0.004280172921,0.07287737001,0.2258035175,0.1920393765,0.09667037498,0.02011254625,-0.01073417709,-0.115828133,0.2044137645,-0.06400868988,0.1243403143,0.2094720677,0.02544088959,0.09034662838,0.3461953095,-0.04033827954,0.04286608821,0.08204187848,0.1469764424,0.00839468482,0.05275523641,0.08018073922,0.006462523314,0.002417705179,-0.04630057957,-0.1150888643,0.1000029517,0.1038145743,0.1668112561,0.09033579901,0.1807795308,0.09761206728,0.1392612898,0.03894960226,0.06918206283
E07,-0.04915879602,0.09943624712,0.2135311066,0.2302847082,0.07106510143,0.2025070715,0.03886487048,0.002634691121,0.115852278,0.1620964173,0.08726656475,0.1794777417,0.1887601558,0.1405864552,0.1021471335,0.1817064524,-0.1916568091,-0.2968412228,0.2211835862,0.2577206156,0.1198615298,1,0.07610678758,0.2694611402,0.5186378917,0.3153927598,0.3880882108,0.1186815797,0.429420894,0.3536426998,0.2725808641,0.2381564864,0.2524566408,0.2047632645,0.1195074261,0.4175767296,0.2139254169,0.09482077643,0.3612218916,0.2054762976,0.4271859107,0.143696559,0.2175609222,0.3475113002,0.2878771101,0.178839499,0.2244581771,0.04907278469,0.02214874377,0.2219417128,0.1794494377,0.4640892143,0.4132445863,0.3633519673,0.2743662461,0.3313808546,0.2933541022,0.2945420744,0.3809243585,0.2463749292
E08,0.2002660157,0.05741876615,0.09483173024,-0.003343606142,-0.06193604677,0.1402569093,0.008415693088,-0.2304005879,-0.09074263544,-0.04813304977,0.159323015,-0.05954294706,-0.05350698052,-0.03887987268,0.1337600937,0.03253080827,0.05455425928,0.06612212483,0.01802526015,0.08611647266,0.1783374912,0.07610678758,1,0.007104768519,0.090287266,0.3142639889,0.2405722957,0.1421221457,0.156756937,0.3302491694,0.2426237397,0.08624030939,-0.05835661748,0.001851435389,0.02548834737,0.1300934885,0.1795622257,0.1892809255,0.1144137106,0.07793103189,0.06908940293,-0.03310065199,-0.01977152561,0.2605934436,0.274071906,0.0883729856,0.3009849097,0.3312386286,0.195966497,-0.007051620038,0.1085836889,0.1280730611,0.1868779031,0.3426225842,0.2489414896,-0.003355730188,0.2006350291,0.0734919347,0.1262751534,0.1393128201
E09,0.001054726349,0.07208862564,-0.006024424332,0.1599324356,-0.1541550373,-0.030915652,-0.004754593522,-0.05663529935,-0.07285627703,0.2642158913,-0.06663251337,-0.07680402678,0.1418441982,0.001540463315,-0.2135727712,0.4296447494,-0.2286763808,0.0368838205,-0.04336841032,0.2117746765,0.1494661734,0.2694611402,0.007104768519,1,0.2331849758,0.2193877287,0.1495454728,0.2735422553,0.02634581779,0.08414900919,0.2513911446,0.3413109552,0.2025177634,0.1191922944,0.1050856232,0.06807289294,0.1323478076,0.2896776049,0.1534571876,0.09228024628,0.07542175527,0.2641857929,0.05930040665,0.181649042,0.1732663278,-0.0054153975,-0.1278914474,0.02712546204,-0.07249634706,0.1169237567,-0.09611653,0.2895133245,0.2022022532,0.06623581547,0.1266023665,0.1212909369,0.214971675,0.08769724874,0.2357554351,0.1546358526
E10,-0.1441170508,0.1494076953,0.09114945987,0.4020446612,0.1366463373,0.4402113586,-0.00825161072,-0.0184679307,-0.04081993561,0.256122763,-0.08482513134,0.3066338044,0.2152155329,0.3681879183,0.078884471,0.3161287907,-0.187989754,-0.4403903433,0.2703049978,0.2593899305,0.1920393765,0.5186378917,0.090287266,0.2331849758,1,0.2756064366,0.4398037313,0.07749491315,0.472145615,0.4715282267,0.1524014094,0.1804991959,0.0353556429,0.2372586873,0.2794595926,0.514689083,0.3884600554,-0.02099503921,0.3566990957,0.2213635356,0.265447007,0.241242009,0.3429533622,0.4246261125,0.4038793569,0.2470368551,0.4184636327,0.1748460854,0.1481952354,0.1666037766,0.117644066,0.305499031,0.2417200601,0.4646937316,0.2434107824,0.2437246339,0.2907009926,0.4265972467,0.410281496,0.3172836034
E11,-0.02811056886,0.01393447394,0.4352404311,0.01785880391,0.06114468187,0.2025406805,0.1197473566,-0.1138809018,-0.04232938972,0.2509836664,0.2386407696,0.1261792545,0.2143993384,-0.02386512031,-0.001115179299,0.0933924529,-0.2019604682,-0.2793461235,-0.1349466313,0.1652299683,-0.004280172921,0.3153927598,0.3142639889,0.2193877287,0.2756064366,1,0.350979696,0.1369880626,0.3283627842,0.419912681,0.1631470637,0.2208441733,0.07871129158,0.1095149009,0.2435104482,0.2237911724,0.2857086399,0.2811072102,0.2681437135,0.2860119174,0.3702799225,0.3167146828,0.1454425358,0.2100062972,0.060301565,0.165684023,0.2944882966,0.1380831192,0.1872228912,0.2539808676,0.2202311733,0.5312190306,0.4109776434,0.4127286587,0.2627193922,0.08058314459,0.1782747525,0.1261197892,0.3243747263,0.2594082454
E12,0.2242327026,0.5312786653,0.101038613,0.3342244157,0.135740836,0.4583065726,0.01335946942,0.1583465801,0.03104754668,0.1416834917,0.157680296,0.1049110234,0.05168711642,0.08736631292,0.06021672042,0.1479684236,0.01041370743,-0.2771540986,0.1988611054,0.03360068415,0.07287737001,0.3880882108,0.2405722957,0.1495454728,0.4398037313,0.350979696,1,0.157450329,0.4398037313,0.3193734642,0.1809524911,0.1178349358,0.2151019385,0.2594172263,0.01507289083,0.2267907625,0.3095314108,0.1293898694,0.2614805706,0.1540657773,0.1546784849,0.2215298901,0.3053638695,0.332059728,0.2152809494,0.06866701578,0.3073779857,0.3357235868,0.1047301974,0.1957073541,0.150149035,0.3402819004,0.2555059511,0.2687723368,0.2441091627,0.2006099432,0.2373233088,0.09656308404,0.3645195964,0.2595400364
E13,0.09128586999,0.02076269885,-0.0888931647,0.01764224763,-0.06022223597,-0.1094672677,-0.005490282634,0.1892301575,0.140530731,0.04589141184,0.1835873503,-0.1206232699,0.07001956153,-0.1182143324,-0.1055414046,0.1895888605,-0.03976225109,0.0439769119,-0.04573109145,0.1335026446,0.2258035175,0.1186815797,0.1421221457,0.2735422553,0.07749491315,0.1369880626,0.157450329,1,0.05949746064,0.09738811589,0.2083755471,0.2834355029,-0.007279259514,0.1244879314,-0.02281981864,-0.05016504092,0.1472981804,0.2475871278,0.1138542883,0.1807050989,0.0821506036,0.09652341781,-0.02610498047,0.1138519771,0.08851260521,-0.1722124977,-0.08943199353,-0.00433606278,0.03406309726,-0.1005681391,0.1736869627,0.1891948341,0.1948816743,0.06195555015,0.0783575919,0.02651115135,0.07339310997,-0.1023554218,0.0686493111,0.03706326794
E14,0.04125931696,0.2997755944,0.2357732695,0.3627877751,0.1366463373,0.4964498141,0.03960773146,0.05788985968,0.1542086456,0.1804600112,0.1681969755,0.1731967029,0.0461729747,0.03246437924,0.05313258997,0.1138993437,0.02092586678,-0.1135554782,0.1130515735,0.1266845618,0.1920393765,0.429420894,0.156756937,0.02634581779,0.472145615,0.3283627842,0.4398037313,0.05949746064,1,0.6041812768,0.1710716675,0.3229698314,0.131478797,0.338030888,0.1104237788,0.3090025868,0.3334050136,-0.02099503921,0.3263111073,0.3143890588,0.3206295389,0.2030879412,0.2042843807,0.2699696679,0.3260884841,0.07830275591,0.417219573,0.2286634712,0.1103903828,0.1954624993,0.1008913997,0.2926529841,0.225231022,0.4547221538,0.2242452409,0.1308021685,0.2927003784,0.1452659089,0.2928069109,0.2766299203
E15,-0.1277105001,0.05945757384,0.167616955,0.1674583013,0.1151648491,0.2635736217,0.003801747531,-0.11077549,0.09019588736,0.06791678552,0.1357086845,0.1022697027,0.03351284135,0.07472758876,0.07961536434,0.1282220667,-0.1861054443,-0.1553023884,0.09720704433,0.1899157474,0.09667037498,0.3536426998,0.3302491694,0.08414900919,0.4715282267,0.419912681,0.3193734642,0.09738811589,0.6041812768,1,0.2003420553,0.08701727802,0.1490473895,0.1795771606,0.1481501227,0.2777609885,0.4344467778,0.2299291876,0.3177608988,0.2242872552,0.335335557,0.153872264,0.05140467931,0.2301444671,0.2980532909,0.241903432,0.4032396398,0.2544569805,0.1479650149,0.3004756049,0.2135069451,0.2722984536,0.2589145412,0.3466902333,0.1326674777,0.2558787443,0.2806001363,0.1717413405,0.4134574093,0.3817709868
S01,0.008647112747,0.117979707,0.01822172189,0.1110152286,-0.02059527491,0.02495081347,0.1853288441,-0.01674317406,0.01084551048,0.1152036189,0.2076878385,0.2188920254,0.07979909364,0.1366865641,-0.109705646,0.04197096334,-0.004320310415,-0.007810647741,-0.07700313738,-0.07525732081,0.02011254625,0.2725808641,0.2426237397,0.2513911446,0.1524014094,0.1631470637,0.1809524911,0.2083755471,0.1710716675,0.2003420553,1,0.3180822068,0.5456765191,0.2262974608,0.1298568639,0.08803562031,0.2570289084,0.2970574504,0.2494987415,0.1494069789,0.09901039664,0.2901046896,0.1001136483,0.4488344071,0.3922596022,0.2034035798,0.1961283026,0.1638639605,0.08466110805,0.01578557824,0.1357291845,0.1540579174,0.1221743251,0.1742668503,0.138646085,0.2123828562,0.1582950691,0.1397311468,0.113740012,0.1196491646
