source,target,weight,abs_weight,sign,theme_source,theme_target,cross_theme
E11,V14,0.324375,0.324375,1,E,V,True
S07,V10,0.324318,0.324318,1,S,V,True
T12,V10,0.324228,0.324228,1,T,V,True
S11,V07,0.32401,0.32401,1,S,V,True
V06,V08,0.323826,0.323826,1,V,V,False
E14,S02,0.32297,0.32297,1,E,S,True
T03,E04,-0.322569,0.322569,-1,T,E,True
V05,V09,0.32229,0.32229,1,V,V,False
S12,V10,0.321918,0.321918,1,S,V,True
V11,V13,0.321748,0.321748,1,V,V,False
T13,S13,0.320896,0.320896,1,T,S,True
V03,V14,0.320888,0.320888,1,V,V,False
V04,V09,0.320755,0.320755,1,V,V,False
T12,S14,0.320669,0.320669,1,T,S,True
E14,S11,0.32063,0.32063,1,E,S,True
S09,V07,0.319737,0.319737,1,S,V,True
E12,E15,0.319373,0.319373,1,E,E,False
V05,V08,0.319126,0.319126,1,V,V,False
S13,V14,0.318876,0.318876,1,S,V,True
V04,V08,0.318228,0.318228,1,V,V,False
T13,V06,0.318132,0.318132,1,T,V,True
S01,S02,0.318082,0.318082,1,S,S,False
E15,S09,0.317761,0.317761,1,E,S,True
S13,V12,0.317607,0.317607,1,S,V,True
V02,V11,0.317606,0.317606,1,V,V,False
S04,S12,0.317583,0.317583,1,S,S,False
E10,V15,0.317284,0.317284,1,E,V,True
T11,S05,0.317158,0.317158,1,T,S,True
S06,S07,0.317054,0.317054,1,S,S,False
S03,S15,0.316721,0.316721,1,S,S,False
E11,S12,0.316715,0.316715,1,E,S,True
S06,V12,0.316179,0.316179,1,S,V,True
E01,E10,0.316129,0.316129,1,E,E,False
S04,S06,0.315599,0.315599,1,S,S,False
E07,E11,0.315393,0.315393,1,E,E,False
S12,S14,0.315316,0.315316,1,S,S,False
S12,V08,0.315316,0.315316,1,S,V,True
T13,V08,0.314842,0.314842,1,T,V,True
T04,T14,0.314485,0.314485,1,T,T,False
E14,S10,0.314389,0.314389,1,E,S,True
E01,E02,-0.314373,0.314373,-1,E,E,False
E08,E11,0.314264,0.314264,1,E,E,False
S07,S11,0.313443,0.313443,1,S,S,False
S07,V11,0.312535,0.312535,1,S,V,True
T11,S12,0.312293,0.312293,1,T,S,True
T13,V07,0.312052,0.312052,1,T,V,True
S07,V15,0.311564,0.311564,1,S,V,True
S06,S15,0.311089,0.311089,1,S,S,False
V04,V12,0.309979,0.309979,1,V,V,False
E12,S07,0.309531,0.309531,1,E,S,True
E14,S06,0.309003,0.309003,1,E,S,True
S15,V08,0.308966,0.308966,1,S,V,True
S02,V07,0.308689,0.308689,1,S,V,True
S02,V05,0.308646,0.308646,1,S,V,True
T10,T11,0.308262,0.308262,1,T,T,False
E04,S06,0.308212,0.308212,1,E,S,True
S04,V07,0.307934,0.307934,1,S,V,True
T12,S04,0.307597,0.307597,1,T,S,True
E12,V02,0.307378,0.307378,1,E,V,True
T04,S13,0.307076,0.307076,1,T,S,True
V03,V15,0.306924,0.306924,1,V,V,False
S06,V01,0.306756,0.306756,1,S,V,True
T12,E10,0.306634,0.306634,1,T,E,True
S08,S09,0.306546,0.306546,1,S,S,False
S13,V13,0.306501,0.306501,1,S,V,True
T03,V02,0.305623,0.305623,1,T,V,True
E10,V07,0.305499,0.305499,1,E,V,True
E12,S13,0.305364,0.305364,1,E,S,True
V05,V10,0.304496,0.304496,1,V,V,False
V10,V11,0.302764,0.302764,1,V,V,False
T06,E03,-0.302187,0.302187,-1,T,E,True
S12,V05,0.302096,0.302096,1,S,V,True
E08,V02,0.300985,0.300985,1,E,V,True
V04,V05,0.300594,0.300594,1,V,V,False
E05,V12,0.300483,0.300483,1,E,V,True
E15,V05,0.300476,0.300476,1,E,V,True
E01,S07,0.300467,0.300467,1,E,S,True
T03,T12,0.300379,0.300379,1,T,T,False
E01,S06,0.300353,0.300353,1,E,S,True
V08,V11,0.300321,0.300321,1,V,V,False
